Time;score_ID;Reference;WER;CER;Transcript;Augmentation_list;Best_epoch;Total_epoch
15/05/2020, 10:08:44;;verdenshistoriens første net var baseret på stier veje og søruter befolket med handelsfolk hære søfolk og alskens kurerer;0.6111111111111112;0.21487603305785125;børens historiens første net vor patient påstiger veje og søruter befolket med handlingsforen hærrer syfulk der alskids kurerer;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;i enkelte tilfælde har hun endog ladet modellen udløse apparatet så billedet blev taget når hun følte det rigtige øjeblik var inde;0.3181818181818182;0.07692307692307693;de enkelte tilfælde har hun en dogladet modellen udløse apparatet så bidget blev taget når hun følger de rigtige øjeblik ver inde;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;måske burde regeringen ligefrem begynde med at sanere blandt de allerede eksisterende skånejob;1.0769230769230769;0.3191489361702128;måske burdat det regeringen ligefrem bo gyngiag kræders seg mere om mand e d allerede eksisterer de soiger;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;men samfundet er vel os alle sammen inklusive den danske fagbevægelse;0.5454545454545454;0.14492753623188406;en samfundet er vel os alle sammen inkusivud dan te danske fagbevænelse åd;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;mange borgere er skeptiske ved alt det kaos det nye system giver;0.4166666666666667;0.1875;smangede borgere er skeptiske be alt i klages de nye system giver;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;der vil komme flere og flere lægemidler som helt kan udrydde behandlinger;0.3333333333333333;0.0821917808219178;uder vil komme flere og flere lægemidder som hen kan uldryde behandlinger;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;det kræver utroligt mange muskler og viljestyrke;0.8571428571428571;0.25;jeg biver utrolig mange musker vog vittigstyrke;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;opsvinget er blevet lidt mere afdæmpet;0.16666666666666666;0.02631578947368421;omsvinget er blevet lidt mere afdæmpet;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;sidste frist for indsendelse af bidrag til konkurrencen er første december og alle kan deltage;0.5333333333333333;0.1914893617021277;sidste fris o indsættelse er bidrag til pokrrencen at første stecember og alle kan vensage;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;den daværende regering svarede igen ved at ud kommandere over fyrre tusinde soldater;0.7692307692307693;0.2023809523809524;en darveren regering svar igen ved at udkomme der er orer tyrre tusind oldagte;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;hun mener også at der skulle være mere tjek på aldersgrænserne der er fra fjorten til atten år;0.7777777777777778;0.4361702127659575;ji mener også at ars kivet mee tildn alle starsiler pe fjorten an en e;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;min gæst gumlede på mit nybagte brød;0.42857142857142855;0.1388888888888889;men gæst gumie på mit nybagte bråd;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;formatér effekter til dette dokument;0.2;0.08333333333333333;formantere effekter til dette dokument;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;indskyd en fodnote i den anledning;0.3333333333333333;0.05882352941176471;indskyd e fodnote i den anletning;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;jeg tror at vi vender hjem en gang;0.375;0.2352941176470588;jeg tror at van vender hjem enærskene;['room_reverb', 'spec_augment'];13;15
15/05/2020, 10:08:44;;benyt fed skrift i dokumentet;0.8;0.3448275862068966;men en tælles skrift i lokimantet;['room_reverb', 'spec_augment'];13;15
